epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,92.2719,3.40329,0.09639,0.33133,3.22437,0.000102677,0.000102677,0.000102677
2,184.67,2.81193,0.48795,0.98193,1.40588,0.000186517,0.000186517,0.000186517
3,276.235,1.63272,0.73494,1,0.72238,0.000249698,0.000249698,0.000249698
4,367.081,1.09232,0.96988,1,0.24946,0.000220039,0.000220039,0.000220039
5,457.697,0.80929,0.95181,1,0.23082,0.000189052,0.000189052,0.000189052
6,548.75,0.67596,0.98193,1,0.08943,0.000158065,0.000158065,0.000158065
7,637.887,0.56897,0.98795,1,0.04511,0.000127078,0.000127078,0.000127078
8,726.401,0.53976,0.99398,1,0.04083,9.6091e-05,9.6091e-05,9.6091e-05
9,814.952,0.47522,0.98193,1,0.03813,6.5104e-05,6.5104e-05,6.5104e-05
10,904.349,0.44716,0.99398,1,0.02679,3.4117e-05,3.4117e-05,3.4117e-05
