,file_name,prediction
0,50000,3
1,50001,8
2,50002,6
3,50003,9
4,50004,6
5,50005,4
6,50006,5
7,50007,3
8,50008,8
9,50009,4
10,50010,5
11,50011,2
12,50012,3
13,50013,8
14,50014,9
15,50015,8
16,50016,1
17,50017,5
18,50018,0
19,50019,5
20,50020,9
21,50021,7
22,50022,4
23,50023,1
24,50024,0
25,50025,3
26,50026,0
27,50027,6
28,50028,2
29,50029,9
30,50030,9
31,50031,4
32,50032,1
33,50033,3
34,50034,6
35,50035,8
36,50036,0
37,50037,7
38,50038,7
39,50039,6
40,50040,8
41,50041,9
42,50042,0
43,50043,3
44,50044,8
45,50045,3
46,50046,7
47,50047,7
48,50048,8
49,50049,4
50,50050,4
51,50051,1
52,50052,2
53,50053,9
54,50054,8
55,50055,1
56,50056,1
57,50057,0
58,50058,6
59,50059,6
60,50060,5
61,50061,0
62,50062,1
63,50063,1
64,50064,7
65,50065,2
66,50066,7
67,50067,3
68,50068,1
69,50069,4
70,50070,0
71,50071,5
72,50072,0
73,50073,6
74,50074,8
75,50075,7
76,50076,6
77,50077,8
78,50078,8
79,50079,9
80,50080,4
81,50081,0
82,50082,6
83,50083,1
84,50084,9
85,50085,2
86,50086,6
87,50087,3
88,50088,9
89,50089,4
90,50090,4
91,50091,5
92,50092,6
93,50093,6
94,50094,1
95,50095,7
96,50096,2
97,50097,8
98,50098,6
99,50099,9
100,50100,7
101,50101,0
102,50102,9
103,50103,1
104,50104,6
105,50105,2
106,50106,8
107,50107,3
108,50108,6
109,50109,4
110,50110,9
111,50111,5
112,50112,8
113,50113,6
114,50114,8
115,50115,7
116,50116,8
117,50117,8
118,50118,6
119,50119,9
120,50120,4
121,50121,7
122,50122,6
123,50123,0
124,50124,9
125,50125,6
126,50126,7
127,50127,0
128,50128,9
129,50129,7
130,50130,1
131,50131,3
132,50132,6
133,50133,8
134,50134,4
135,50135,6
136,50136,1
137,50137,7
138,50138,5
139,50139,1
140,50140,3
141,50141,3
142,50142,5
143,50143,7
144,50144,4
145,50145,9
146,50146,6
147,50147,7
148,50148,3
149,50149,4
150,50150,1
151,50151,0
152,50152,4
153,50153,2
154,50154,4
155,50155,5
156,50156,0
157,50157,0
158,50158,1
159,50159,6
160,50160,6
161,50161,4
162,50162,7
163,50163,9
164,50164,4
165,50165,6
166,50166,5
167,50167,2
168,50168,6
169,50169,9
170,50170,8
171,50171,8
172,50172,8
173,50173,5
174,50174,9
175,50175,3
176,50176,8
177,50177,9
178,50178,1
179,50179,8
180,50180,8
181,50181,3
182,50182,4
183,50183,4
184,50184,8
185,50185,0
186,50186,9
187,50187,5
188,50188,4
189,50189,4
190,50190,1
191,50191,8
192,50192,0
193,50193,6
194,50194,1
195,50195,3
196,50196,2
197,50197,0
198,50198,8
199,50199,6
200,50200,0
201,50201,3
202,50202,5
203,50203,4
204,50204,9
205,50205,0
206,50206,3
207,50207,1
208,50208,0
209,50209,9
210,50210,3
211,50211,2
212,50212,8
213,50213,3
214,50214,3
215,50215,7
216,50216,4
217,50217,9
218,50218,2
219,50219,1
220,50220,6
221,50221,2
222,50222,1
223,50223,5
224,50224,7
225,50225,1
226,50226,9
227,50227,7
228,50228,0
229,50229,2
230,50230,2
231,50231,8
232,50232,1
233,50233,7
234,50234,7
235,50235,0
236,50236,8
237,50237,1
238,50238,8
239,50239,0
240,50240,0
241,50241,6
242,50242,6
243,50243,4
244,50244,7
245,50245,9
246,50246,3
247,50247,2
248,50248,9
249,50249,1
250,50250,5
251,50251,2
252,50252,5
253,50253,3
254,50254,7
255,50255,7
256,50256,0
257,50257,0
258,50258,8
259,50259,2
260,50260,3
261,50261,1
262,50262,3
263,50263,5
264,50264,1
265,50265,3
266,50266,6
267,50267,4
268,50268,8
269,50269,7
270,50270,6
271,50271,2
272,50272,8
273,50273,1
274,50274,8
275,50275,6
276,50276,6
277,50277,8
278,50278,7
279,50279,5
280,50280,6
281,50281,0
282,50282,4
283,50283,8
284,50284,4
285,50285,9
286,50286,3
287,50287,2
288,50288,3
289,50289,6
290,50290,2
291,50291,0
292,50292,1
293,50293,1
294,50294,6
295,50295,2
296,50296,5
297,50297,3
298,50298,0
299,50299,4
300,50300,3
301,50301,5
302,50302,8
303,50303,6
304,50304,9
305,50305,7
306,50306,8
307,50307,8
308,50308,3
309,50309,9
310,50310,0
311,50311,0
312,50312,3
313,50313,1
314,50314,4
315,50315,2
316,50316,5
317,50317,3
318,50318,4
319,50319,4
320,50320,7
321,50321,5
322,50322,3
323,50323,6
324,50324,0
325,50325,7
326,50326,1
327,50327,8
328,50328,0
329,50329,7
330,50330,3
331,50331,0
