iter	Passed	Remaining
0	51	25564
1	100	25098
2	151	25070
3	203	25220
4	252	25009
5	303	25005
6	355	25003
7	405	24921
8	455	24831
9	504	24718
10	554	24637
11	605	24624
12	656	24578
13	706	24528
14	755	24441
15	810	24517
16	869	24700
17	923	24727
18	974	24667
19	1024	24594
20	1074	24508
21	1124	24436
22	1176	24395
23	1224	24295
24	1277	24281
25	1325	24161
26	1374	24083
27	1421	23966
28	1470	23881
29	1532	24003
30	1586	23997
31	1639	23978
32	1696	24005
33	1752	24015
34	1810	24050
35	1862	24007
36	1917	23989
37	2002	24350
38	2055	24295
39	2105	24213
40	2158	24168
41	2209	24092
42	2258	24001
43	2309	23933
44	2362	23889
45	2414	23832
46	2476	23870
47	2527	23805
48	2579	23738
49	2629	23664
50	2679	23589
51	2728	23508
52	2779	23438
53	2828	23364
54	2878	23286
55	2929	23226
56	2977	23143
57	3028	23081
58	3085	23059
59	3139	23026
60	3189	22951
61	3242	22904
62	3291	22833
63	3341	22765
64	3397	22734
65	3448	22677
66	3496	22595
67	3560	22617
68	3613	22568
69	3664	22508
70	3714	22441
71	3764	22378
72	3819	22343
73	3874	22301
74	3962	22456
75	4021	22437
76	4075	22388
77	4129	22341
78	4184	22299
79	4237	22248
80	4289	22188
81	4344	22145
82	4394	22080
83	4446	22020
84	4496	21954
85	4546	21887
86	4598	21831
87	4649	21770
88	4699	21704
89	4749	21637
90	4801	21581
91	4852	21520
92	4903	21459
93	4955	21404
94	5007	21347
95	5059	21291
96	5111	21237
97	5164	21186
98	5217	21135
99	5267	21070
100	5320	21017
101	5376	20978
102	5426	20917
103	5478	20860
104	5529	20802
105	5579	20740
106	5631	20685
107	5684	20631
108	5742	20600
109	5794	20545
110	5848	20496
111	5905	20457
112	5960	20412
113	6013	20362
114	6062	20294
115	6122	20266
116	6174	20211
117	6228	20162
118	6283	20118
119	6334	20059
120	6386	20004
121	6436	19942
122	6488	19886
123	6538	19827
124	6589	19768
125	6639	19706
126	6689	19646
127	6739	19587
128	6788	19524
129	6839	19466
130	6893	19416
131	6951	19380
132	7007	19335
133	7061	19288
134	7119	19249
135	7174	19203
136	7245	19199
137	7310	19176
138	7364	19126
139	7420	19080
140	7471	19024
141	7533	18992
142	7586	18940
143	7640	18888
144	7693	18835
145	7744	18777
146	7797	18723
147	7847	18663
148	7900	18611
149	7961	18576
150	8018	18533
151	8077	18494
152	8131	18441
153	8185	18390
154	8237	18335
155	8288	18278
156	8341	18224
157	8397	18175
158	8447	18116
159	8498	18059
160	8554	18011
161	8608	17961
162	8661	17908
163	8714	17854
164	8767	17801
165	8819	17746
166	8874	17695
167	8928	17643
168	8981	17591
169	9032	17534
170	9084	17477
171	9137	17424
172	9188	17367
173	9239	17310
174	9291	17255
175	9342	17198
176	9399	17153
177	9452	17099
178	9502	17041
179	9552	16982
180	9606	16931
181	9658	16876
182	9708	16817
183	9758	16759
184	9809	16701
185	9864	16652
186	9915	16596
187	9966	16539
188	10017	16483
189	10073	16435
190	10124	16379
191	10177	16326
192	10251	16306
193	10316	16272
194	10374	16226
195	10438	16190
196	10526	16189
197	10586	16147
198	10639	16092
199	10693	16039
200	10745	15984
201	10799	15931
202	10852	15878
203	10907	15825
204	10966	15781
205	11020	15728
206	11083	15688
207	11137	15635
208	11194	15586
209	11249	15534
210	11304	15483
211	11364	15438
212	11421	15389
213	11484	15348
214	11540	15297
215	11595	15246
