iter	RMSE
0	21.97025952
1	21.19081548
2	20.42731119
3	19.68679281
4	19.0059126
5	18.37560567
6	17.77765615
7	17.20711346
8	16.66861493
9	16.15459067
10	15.68688604
11	15.22942488
12	14.81502275
13	14.40680361
14	14.02338611
15	13.65622473
16	13.33635825
17	13.01607057
18	12.71636231
19	12.43357866
20	12.18001103
21	11.9313133
22	11.70857572
23	11.49077392
24	11.29622899
25	11.10436052
26	10.92139718
27	10.74373987
28	10.58860045
29	10.44338031
30	10.30345137
31	10.17484743
32	10.04471141
33	9.933794879
34	9.831152241
35	9.74007368
36	9.65108995
37	9.559765964
38	9.482771892
39	9.408456547
40	9.333824618
41	9.266241721
42	9.206853667
43	9.152901149
44	9.103430806
45	9.054228618
46	9.001180453
47	8.954305246
48	8.909145058
49	8.860762537
50	8.825266016
51	8.787120644
52	8.756854759
53	8.72223491
54	8.691225332
55	8.664279549
56	8.637886945
57	8.612252486
58	8.586821278
59	8.565685959
60	8.541761437
61	8.523046209
62	8.502709641
63	8.484325728
64	8.464659133
65	8.448671402
66	8.430325225
67	8.412228608
68	8.395586546
69	8.375796973
70	8.36220022
71	8.346042832
72	8.331499879
73	8.314877435
74	8.297697045
75	8.28424632
76	8.267570356
77	8.254392645
78	8.240911954
79	8.229805762
80	8.217930252
81	8.206397044
82	8.194342493
83	8.184537586
84	8.173522473
85	8.16296219
86	8.152413574
87	8.142519819
88	8.132232939
89	8.12185419
90	8.111521133
91	8.103043054
92	8.095287419
93	8.087547725
94	8.077814709
95	8.069229298
96	8.060398258
97	8.05024579
98	8.044358992
99	8.034214057
100	8.025930008
101	8.018928711
102	8.011603139
103	8.004240492
104	7.997828468
105	7.989641649
106	7.983981252
107	7.977378885
108	7.972697761
109	7.965390957
110	7.960441628
111	7.953652637
112	7.946977425
113	7.941576904
114	7.93564531
115	7.928357618
116	7.921197373
117	7.915656679
118	7.909408306
119	7.902672923
120	7.896645259
121	7.891479067
122	7.88697759
123	7.882431714
124	7.876348157
125	7.871217111
126	7.867429082
127	7.863419041
128	7.858167807
129	7.852975547
130	7.847367247
131	7.841272828
132	7.836752721
133	7.832398537
134	7.827215983
135	7.823157426
136	7.819560108
137	7.812930729
138	7.808292762
139	7.802601696
140	7.797992934
141	7.792883247
142	7.790348729
143	7.785796395
144	7.782414724
145	7.779189702
146	7.775056185
147	7.770515596
148	7.766490005
149	7.760450212
150	7.755805156
151	7.750262742
152	7.747382032
153	7.74281525
154	7.739033856
155	7.734603448
156	7.730122811
157	7.726653402
158	7.722232277
159	7.719058187
160	7.715736654
161	7.711557917
162	7.70770556
163	7.703282345
164	7.700112625
165	7.695853987
166	7.693499282
167	7.689114491
168	7.684130774
169	7.681351819
170	7.678591846
171	7.675203677
172	7.671041739
173	7.666765736
174	7.663624105
175	7.662088141
176	7.659096383
177	7.656319433
178	7.652804709
179	7.648655063
180	7.645278341
181	7.641185446
182	7.636464913
183	7.632859599
184	7.629915397
185	7.626493448
186	7.623164019
187	7.620316146
188	7.616924858
189	7.614311816
190	7.610859698
191	7.606984624
192	7.602843291
193	7.600599502
194	7.597345726
195	7.594312125
196	7.589486456
197	7.58540919
198	7.58174254
199	7.579064906
200	7.575391067
201	7.570564118
202	7.568432233
203	7.564929994
204	7.56226837
205	7.559589924
206	7.556990278
207	7.553540703
208	7.550949071
209	7.547259328
210	7.543584931
211	7.540842275
212	7.536933236
213	7.533660459
214	7.531041797
215	7.529004254
216	7.526970256
217	7.523327645
218	7.520871855
219	7.518229592
220	7.516448031
221	7.512122839
222	7.508626922
223	7.505449032
224	7.503060995
225	7.500876505
226	7.497796337
227	7.495293769
228	7.491431214
229	7.488680664
230	7.486829252
231	7.48495812
232	7.481499198
233	7.477526897
234	7.475193128
235	7.472566602
236	7.469949212
237	7.466388824
238	7.463069643
239	7.459971453
240	7.456954087
241	7.454574592
242	7.452143732
243	7.448618081
244	7.446727953
245	7.443887826
246	7.439249483
247	7.436487294
248	7.434383703
249	7.43190401
250	7.429962089
251	7.426105122
252	7.423215107
253	7.421379524
254	7.41739527
255	7.415531535
256	7.413463993
257	7.411232167
258	7.40857919
259	7.406180444
260	7.40326433
261	7.399281449
262	7.396946608
263	7.395031871
264	7.392323662
265	7.390023196
266	7.385717626
267	7.384006501
268	7.381225921
269	7.377666262
270	7.37429306
271	7.371950239
272	7.370289547
273	7.367123923
274	7.363034251
275	7.360186429
276	7.356812528
277	7.353467528
278	7.350822398
279	7.348542187
280	7.346797359
281	7.344041977
282	7.342090009
283	7.340042734
284	7.337803704
285	7.334692304
286	7.333111526
287	7.330259302
288	7.328549638
289	7.324804278
290	7.321827873
291	7.319557426
292	7.317789289
293	7.313823494
294	7.311204406
295	7.30940245
296	7.306705172
297	7.303519293
298	7.301517464
299	7.29926295
300	7.297268336
301	7.295585337
302	7.292859086
303	7.291298926
304	7.289004029
305	7.287234974
306	7.283841849
307	7.281509529
308	7.278287838
309	7.275662266
310	7.273606869
311	7.271201295
312	7.269023699
313	7.267038823
314	7.264904552
315	7.262658091
316	7.259954977
317	7.256970555
318	7.254891259
319	7.252146848
320	7.249930858
321	7.246919668
322	7.244073381
323	7.241581736
324	7.238574411
325	7.237299416
326	7.235687003
327	7.231597196
328	7.229176575
329	7.226689165
330	7.224533588
331	7.221565159
332	7.218825428
333	7.216299471
334	7.213875529
335	7.211195258
336	7.209228392
337	7.206332676
338	7.204452384
339	7.20115936
340	7.198261255
341	7.196028319
342	7.194012418
343	7.190921328
344	7.187890882
345	7.186082142
346	7.18242433
347	7.180933598
348	7.178760336
349	7.176611291
350	7.174511477
351	7.171648463
352	7.168656325
353	7.166235506
354	7.163886474
355	7.161056975
356	7.158720686
357	7.156734919
358	7.154187048
359	7.15191791
360	7.149716279
361	7.14828537
362	7.143978003
363	7.141432505
364	7.139627367
365	7.138312038
366	7.134854289
367	7.132731584
368	7.13011891
369	7.125816538
370	7.123676123
371	7.122304402
372	7.120069353
373	7.11876247
374	7.116692242
375	7.114661988
376	7.112039756
377	7.109794641
378	7.106781635
379	7.104512329
380	7.102575344
381	7.100503879
382	7.099013269
383	7.095896111
384	7.094556104
385	7.093332962
386	7.090820439
387	7.088330927
388	7.086474805
389	7.083920912
