iter	Passed	Remaining
0	5	2668
1	9	2465
2	14	2364
3	18	2319
4	23	2295
5	27	2275
6	32	2271
7	36	2268
8	41	2263
9	46	2263
10	51	2270
11	55	2264
12	60	2257
13	64	2245
14	69	2249
15	74	2250
16	78	2237
17	83	2237
18	88	2228
19	92	2220
20	97	2213
21	101	2204
22	105	2195
23	110	2188
24	114	2182
25	119	2176
26	123	2169
27	128	2168
28	133	2170
29	138	2168
30	143	2164
31	147	2158
32	152	2155
33	156	2148
34	161	2146
35	165	2139
36	170	2133
37	175	2131
38	179	2124
39	184	2118
40	188	2113
41	193	2110
42	198	2104
43	202	2100
44	207	2096
45	211	2089
46	216	2084
47	220	2079
48	225	2074
49	230	2070
50	234	2064
51	239	2060
52	243	2055
53	248	2051
54	252	2046
55	257	2041
56	262	2036
57	266	2032
58	271	2028
59	275	2022
60	280	2018
61	284	2012
62	289	2007
63	294	2003
64	299	2002
65	305	2009
66	310	2005
67	314	1999
68	319	1993
69	323	1987
70	327	1981
71	333	1979
72	338	1977
73	342	1973
74	347	1969
75	351	1963
76	356	1957
77	361	1954
78	366	1951
79	370	1945
80	375	1940
81	379	1934
82	384	1930
83	388	1924
84	393	1919
85	397	1913
86	402	1908
87	406	1903
88	411	1898
89	415	1893
90	420	1889
91	425	1884
92	429	1879
93	433	1874
94	438	1869
95	443	1865
96	447	1859
97	451	1854
98	456	1849
99	460	1842
100	465	1838
101	470	1834
102	475	1830
103	479	1825
104	483	1820
105	488	1815
106	493	1811
107	497	1805
108	501	1800
109	506	1794
110	510	1788
111	514	1783
112	519	1779
113	523	1774
114	528	1768
115	532	1763
116	538	1762
117	543	1758
118	547	1753
119	551	1747
120	556	1743
121	560	1737
122	565	1734
123	570	1730
124	575	1725
125	579	1721
126	584	1716
127	588	1711
128	593	1706
129	597	1701
130	602	1696
131	606	1691
132	611	1687
133	615	1682
134	620	1677
135	624	1672
136	629	1667
137	633	1662
138	638	1657
139	642	1652
140	647	1648
141	651	1642
142	655	1636
143	660	1631
144	664	1627
145	668	1621
146	673	1617
147	677	1612
148	682	1607
149	686	1602
150	691	1598
151	695	1593
152	700	1588
153	704	1583
154	709	1578
155	713	1573
156	717	1568
157	722	1563
158	726	1558
159	731	1554
160	736	1549
161	740	1544
162	744	1540
163	749	1534
164	754	1532
165	759	1528
166	764	1523
167	768	1519
168	772	1513
169	777	1509
170	781	1504
171	786	1499
172	791	1495
173	795	1490
174	800	1486
175	804	1481
176	808	1476
177	813	1471
178	817	1466
179	822	1461
180	826	1456
181	831	1453
182	836	1449
183	841	1444
184	845	1439
185	850	1435
186	854	1430
187	859	1426
188	863	1421
189	868	1416
190	872	1411
191	877	1407
192	881	1402
193	886	1397
194	890	1393
195	895	1388
196	899	1383
197	903	1378
198	908	1373
199	912	1368
